Servicio Meteorológico Nacional
Red: SMN
Estación: ZACATECAS_EMA
Estado: Zacatecas
Municipio: Guadalupe
Latitud (N): 22.74667
Longitud (O): -102.5061111
Altitud: 2270

Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²),
2023-01-09 09:20:00,2023-01-09 15:20:00,212.0,141.0,0,0,12,45,782.9,0,313,
2023-01-09 09:10:00,2023-01-09 15:10:00,214.0,141.0,0,0,11,50,782.8,0,275,
2023-01-09 09:00:00,2023-01-09 15:00:00,215.0,141.0,0,0,10.3,53,782.8,0,238,
2023-01-09 08:50:00,2023-01-09 14:50:00,230.0,141.0,0,0,9.6,56,782.7,0,203,
2023-01-09 08:40:00,2023-01-09 14:40:00,232.0,141.0,0,0,9,59,782.5,0,168,
2023-01-09 08:30:00,2023-01-09 14:30:00,244.0,141.0,0,0,8.5,56,782.4,0,134,
2023-01-09 08:20:00,2023-01-09 14:20:00,250.0,141.0,0,0,7.9,56,782.3,0,91,
2023-01-09 08:10:00,2023-01-09 14:10:00,248.0,141.0,0,0,7.2,62,782.2,0,33,
2023-01-09 08:00:00,2023-01-09 14:00:00,248.0,141.0,0,0,6.4,65,782.1,0,24,
2023-01-09 07:50:00,2023-01-09 13:50:00,250.0,141.0,0,0,5.5,65,782,0,14,
2023-01-09 07:40:00,2023-01-09 13:40:00,253.0,141.0,0,0,4.7,66,781.8,0,5,
2023-01-09 07:30:00,2023-01-09 13:30:00,251.0,141.0,0,0,4.5,65,781.8,0,0,
2023-01-09 07:20:00,2023-01-09 13:20:00,261.0,141.0,0,0,4.7,65,781.7,0,0,
2023-01-09 07:10:00,2023-01-09 13:10:00,204.0,141.0,0,0,5,65,781.7,0,0,
2023-01-09 07:00:00,2023-01-09 13:00:00,232.0,141.0,0,0,5.2,64,781.6,0,0,
2023-01-09 06:50:00,2023-01-09 12:50:00,187.0,141.0,0,0,5.3,62,781.6,0,0,
2023-01-09 06:40:00,2023-01-09 12:40:00,156.0,141.0,0,0,5.5,61,781.5,0,0,
2023-01-09 06:30:00,2023-01-09 12:30:00,42.0,141.0,0,0,5.8,61,781.4,0,0,
2023-01-09 06:20:00,2023-01-09 12:20:00,142.0,141.0,0,0,6.2,64,781.4,0,0,
2023-01-09 06:10:00,2023-01-09 12:10:00,231.0,141.0,0,0,6.7,62,781.3,0,0,
2023-01-09 06:00:00,2023-01-09 12:00:00,246.0,141.0,0,0,7,60,781.3,0,0,
2023-01-09 05:50:00,2023-01-09 11:50:00,223.0,141.0,0,0,7.3,57,781.3,0,0,
2023-01-09 05:40:00,2023-01-09 11:40:00,220.0,141.0,0,0,7.1,57,781.3,0,0,
2023-01-09 05:30:00,2023-01-09 11:30:00,212.0,141.0,0,0,6.4,57,781.3,0,0,
2023-01-09 05:20:00,2023-01-09 11:20:00,214.0,141.0,0,0,5,55,781.3,0,1,
2023-01-09 05:10:00,2023-01-09 11:10:00,241.0,141.0,0,0,4.7,50,781.3,0,0,
2023-01-09 05:00:00,2023-01-09 11:00:00,256.0,141.0,0,0,5,49,781.3,0,0,
2023-01-09 04:50:00,2023-01-09 10:50:00,249.0,141.0,0,0,5.2,48,781.3,0,0,
2023-01-09 04:40:00,2023-01-09 10:40:00,219.0,141.0,0,0,5.2,47,781.2,0,0,
2023-01-09 04:30:00,2023-01-09 10:30:00,117.0,141.0,0,0,5.2,47,781.1,0,0,
2023-01-09 04:20:00,2023-01-09 10:20:00,317.0,141.0,0,0,5.2,48,781,0,0,
2023-01-09 04:10:00,2023-01-09 10:10:00,260.0,141.0,0,0,5.1,47,780.9,0,0,
2023-01-09 04:00:00,2023-01-09 10:00:00,281.0,141.0,0,0,5,47,780.9,0,0,
2023-01-09 03:50:00,2023-01-09 09:50:00,323.0,141.0,0,0,5,47,780.9,0,0,
2023-01-09 03:40:00,2023-01-09 09:40:00,312.0,141.0,0,0,5.3,46,780.9,0,0,
2023-01-09 03:30:00,2023-01-09 09:30:00,301.0,141.0,0,0,5.6,45,781,0,0,
2023-01-09 03:20:00,2023-01-09 09:20:00,40.0,141.0,0,0,6,44,781,0,0,
2023-01-09 03:10:00,2023-01-09 09:10:00,46.0,141.0,0,0,6.2,43,781,0,0,
2023-01-09 03:00:00,2023-01-09 09:00:00,29.0,141.0,0,0,6.3,43,781,0,0,
2023-01-09 02:50:00,2023-01-09 08:50:00,258.0,141.0,0,0,6.3,43,780.9,0,0,
2023-01-09 02:40:00,2023-01-09 08:40:00,264.0,141.0,0,0,6.4,42,780.9,0,0,
2023-01-09 02:30:00,2023-01-09 08:30:00,240.0,141.0,0,0,6.4,42,781,0,0,
2023-01-09 02:20:00,2023-01-09 08:20:00,232.0,141.0,0,0,6.4,41,781,0,0,
2023-01-09 02:10:00,2023-01-09 08:10:00,237.0,141.0,0,0,6.6,41,781.1,0,0,
2023-01-09 02:00:00,2023-01-09 08:00:00,289.0,141.0,0,0,6.9,40,781.1,0,0,
2023-01-09 01:50:00,2023-01-09 07:50:00,118.0,141.0,0,0,7.3,40,781.2,0,0,
