TBS,HR,PVS,PV,WS,W,MU,VEH,TPR,H,TBH
5.7,0.59,0.9160120310104402,0.5404470982961597,0.0073787299171322596,0.004332378182718768,0.5871441604956513,1.1009408118926505,-1.4584152238346988,16.614051507912542,2.0818767097790056
5.7,0.6,0.9160120310104402,0.549607218606264,0.007379685661791472,0.0044068965693147815,0.5971658917847424,1.1009901138079217,-1.2423191962743658,16.801188675209666,2.1593873135160893
5.8,0.64,0.9223840217185745,0.5903257738998877,0.007432596622623301,0.004736485653684924,0.6372585375167586,1.1012080846781496,-0.3160165291746324,17.73033688817442,2.5650264960404936
6.2,0.62,0.9482653580426538,0.5879245219864453,0.007642721653618258,0.004716464662278099,0.6171184659126249,1.1011948480495244,-0.3691646104385029,18.08586007639308,2.768550501773335
6.6,0.61,0.9747860700024005,0.5946195027014642,0.007860190034221271,0.004771200707750457,0.6070083149361353,1.1012310348526275,-0.22142208136275343,18.629212284115326,3.0493101092605164
6.8,0.64,0.9882903983511413,0.6325058549447304,0.00797047764036212,0.005077680893008478,0.6370610548225295,1.1014335805824074,0.5897915358924095,19.60240336869499,3.477483889602775
6.8,0.62,0.9882903983511413,0.6127400469777076,0.00797047764036212,0.0049177487649269035,0.6169954909632589,1.1013279005183372,0.1717128340063212,19.200450109422896,3.3119519827773463
7.2,0.57,1.015795538653464,0.5790034570324745,0.008195227041332988,0.004644962482914506,0.5667887490471506,1.1011475709693699,-0.5681922165614495,18.920617102197134,3.259737294157196
7.5,0.54,1.036865634396256,0.5599074425739782,0.008367503055248703,0.0044906617084213285,0.5366788250653175,1.1010455247101891,-1.0028199922633974,18.836937265639495,3.2780147974164464
7.4,0.54,1.0297998097332253,0.5560918972559417,0.008309720058806383,0.004459840215879624,0.5367016198281221,1.1010251372708437,-1.0911145095822192,18.658030465678443,3.1903951723198105
7.8,0.52,1.0583205115910714,0.5503266660273571,0.008543021984335038,0.004413275159911806,0.5165941475983831,1.1009943335907042,-1.2254718804714102,18.946535675915825,3.3746649982162324
8.3,0.5,1.094950038020969,0.5474750190104845,0.008842908301487802,0.004390245320244562,0.4964707504097845,1.1009790978531941,-1.292355193901635,19.39557600619689,3.6394990126537667
8.7,0.48,1.1250542013756863,0.5400260166603295,0.00908840450387267,0.004329537180748774,0.47638033484358117,1.1009389321199716,-1.4684207736289068,19.648361376170573,3.8116420993012277
9.1,0.48,1.1558859019943484,0.5548252329572873,0.009339995942104282,0.004448461758946404,0.4762809091696644,1.1010176104664116,-1.1205357372600417,20.35327106774653,4.152137997628596
9.4,0.47,1.1794961251799443,0.5543631788345738,0.009533699755011997,0.004444730640966567,0.46621256754282736,1.1010151423094408,-1.1312817106804047,20.648085077842666,4.318770384534734
9.6,0.47,1.195471470061568,0.5618715909289369,0.009666089076639663,0.004505947981141669,0.46616040318015833,1.101055635630436,-0.9575601442321897,21.005054967452537,4.488130523517496
9.8,0.47,1.2116372085096407,0.5694694879995311,0.009797583874629744,0.0045667381309510945,0.46610860283384653,1.101095841494898,-0.7836933423645362,21.36099309630708,4.657490221564803
9.8,0.47,1.2116372085096407,0.5694694879995311,0.009797583874629744,0.0045667381309510945,0.46610860283384653,1.101095841494898,-0.7836933423645362,21.36099309630708,4.657490221564803
9.9,0.47,1.2197920793632866,0.5733022773007447,0.009864571921392565,0.004597701564221613,0.4660822183526199,1.1011163184620207,-0.6967059170860708,21.540410240220112,4.742169906690053
9.9,0.47,1.2197920793632866,0.5733022773007447,0.009863289479211498,0.004597108822529726,0.46608272343814783,1.1011159264775436,-0.6967059170860708,21.53891720125104,4.742169906690053
10.0,0.46,1.2279952754407795,0.5648778267027585,0.009929388920031588,0.00452848047165291,0.456068395358866,1.1010705389127136,-0.8885378481526374,21.467468732117265,4.735502105996417
10.1,0.46,1.236247041088824,0.5686736389008591,0.009995884301525771,0.004558545993626521,0.45604229261944385,1.1010904235987706,-0.8018157489731905,21.644628102796737,4.819729731264054
10.3,0.46,1.2528972634784448,0.5763327412000846,0.01013270572170782,0.0046203982234543,0.4559885928154196,1.1011313275831522,-0.6282646154387805,22.003316090430555,4.9881846427863366
10.5,0.45,1.2697447213269355,0.571385124597121,0.010271208216289804,0.004580441606898475,0.44594964004663473,1.1011049041348562,-0.7401570452621726,22.10549527840783,5.063022800666795
10.4,0.43,1.2612962139172514,0.5423573719844181,0.010201745679804712,0.004346118057766282,0.42601709493403855,1.1009499028456315,-1.413104090234519,21.41362659065386,4.792867244983126
